	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679859_11B.CEL	GSM679860_12B.CEL
201229_s_at	7.59712537651064	7.65656814874721	7.78638836515596	7.68519871441318	7.49857471044166	7.21912470113514
201230_s_at	6.89199155261205	6.8271621614685	6.81446753759244	6.88247491712572	6.72230569528066	6.81083691866335
201231_s_at	12.9425566939492	12.9754966808678	12.9498296570916	12.9514766912258	12.3524652335444	12.3675994297221
201232_s_at	8.96813630721528	8.88222435631281	8.98475984202894	8.81481751226574	8.36165098967364	8.23613525629775
201233_at	7.2254338877509	7.11951046574674	7.2423049256303	6.96782516272696	6.75230895324375	6.71168424751789
201234_at	9.37545298407968	9.08583554392319	9.38543352199	9.60343655907198	10.1423317998454	10.1450411982801
201235_s_at	4.16442288859385	4.42511367565528	3.95607577004352	4.17542485341868	4.86439409243332	4.88106138523956
201236_s_at	6.59870423912036	6.97210230809603	6.65383577205674	6.621932250605	8.6196364262984	8.61772427109043
201237_at	8.4490418464674	8.22935893398023	8.57187230848609	8.77968300467275	8.42553714705396	8.49388760984194
201238_s_at	10.2178279797634	10.0702520830452	10.1342270453891	10.2520924738025	10.2916863735345	10.2556173022559
201239_s_at	11.0556607019815	11.1527819170587	11.059574307528	11.2744806844657	10.919040789565	10.9644572939223
201240_s_at	11.7326494080049	11.7822327351528	11.7161243850477	11.7921319483942	11.6910693396249	11.6613740471312
201241_at	11.1221087314653	11.1945273358697	11.1351860289732	11.0466907775984	10.864591751061	10.8622960459136
201242_s_at	10.2401434475423	9.79586928344254	10.4232439555772	9.75775449466717	11.0748894532046	10.7536748578998
201243_s_at	9.83951984642438	9.39040856158953	9.8645620937578	9.10462333043371	9.93658608433924	10.0185680574205
201244_s_at	9.38516215303508	9.44650978487355	9.48220174846255	9.28258944305984	8.88209738754536	8.88776394312107
201245_s_at	9.14551357136876	9.12486049496385	9.18857654619303	9.2530464150338	8.79617259407641	8.73030962118736
201246_s_at	6.93930917242159	7.03719233293912	7.14208491867053	7.1418685493096	6.70287975792729	6.67548197078622
201247_at	7.11888756380492	7.09978084877247	7.072754916888	6.8581326218068	7.10760896827557	6.99709825421423
201248_s_at	6.7823338424124	6.89891263019936	6.82619849219126	6.82990379340416	6.74808934821706	6.39703345251951
